Severity;Time;Host;Problem;Urgency;Assignment Group
High;25.02.21 15:47;vpn;Unavailable by ICMP ping;3 - High;Network Services
Average;25.02.21 15:46;asterisk;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;25.02.21 15:46;Zabbix server;Zabbix server has been restarted (uptime < 10m);2 - Medium;Data Center Services
Average;25.02.21 15:45;DC1;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
High;25.02.21 15:39;DC1;Unavailable by ICMP ping;3 - High;Network Services
Average;25.02.21 15:39;GitLab Contabo;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
High;25.02.21 15:37;Cloudflare DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;25.02.21 15:37;Google DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;25.02.21 15:37;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
High;25.02.21 15:37;Cloudflare DNS;Unavailable by ICMP ping;3 - High;Network Services
High;25.02.21 15:37;FritzBox;Unavailable by ICMP ping;3 - High;Network Services
Average;25.02.21 14:48;sysmail;Lack of available memory ( < 20M of 1.94 GB);3 - High;Data Center Services
Average;25.02.21 00:41;GitLab Contabo;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
High;25.02.21 00:38;Cloudflare DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;25.02.21 00:38;Google DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;25.02.21 00:38;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
High;25.02.21 00:38;Cloudflare DNS;Unavailable by ICMP ping;3 - High;Network Services
Information;25.02.21 00:16;GS1900-10HP Gartenhaus;Interface GigabitEthernet6(): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
High;25.02.21 00:11;px4-300d;Disk 2 status require attention: MISSING;3 - High;Data Center Services
High;25.02.21 00:11;px4-300d;RAID status require attention: DEGRADED;3 - High;Data Center Services
Average;23.02.21 23:13;sysmail;Lack of available memory ( < 20M of 1.94 GB);3 - High;Data Center Services
Information;23.02.21 20:01;px4-300d;Media service status was changed for: enabled (1);3 - High;Data Center Services
Warning;21.02.21 01:13;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
High;20.02.21 12:29;Fritz Repeater;Unavailable by ICMP ping;3 - High;Network Services
Information;19.02.21 17:31;px4-300d;Media service status was changed for: enabled (1);3 - High;Data Center Services
Average;17.02.21 23:16;sysmail;Lack of available memory ( < 20M of 1.94 GB);3 - High;Data Center Services
Warning;17.02.21 18:16;GS1900-10HP Gartenhaus;GS1900-10HP Gartenhaus has been restarted (uptime < 10m);2 - Medium;Network Services
Average;17.02.21 18:15;Webcam Gartenhaus;HTTP service is down on Webcam Gartenhaus;3 - High;Data Center Services
High;17.02.21 18:15;GS1900-10HP Gartenhaus;Unavailable by ICMP ping;3 - High;Network Services
High;17.02.21 18:14;Webcam Gartenhaus;Unavailable by ICMP ping;3 - High;Network Services
Information;17.02.21 17:41;GS1900-10HP Gartenhaus;Interface GigabitEthernet6(): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Average;17.02.21 16:55;DC1;"""MSDTC"" (Distributed Transaction Coordinator) is not running (startup type automatic delayed)";0 - Very Low;Data Center Services
Average;17.02.21 16:55;DC1;"""DPS"" (Diagnoserichtliniendienst) is not running (startup type automatic delayed)";0 - Very Low;Data Center Services
Average;17.02.21 16:54;DC1;"""CDPSvc"" (Plattformdienst für verbundene Geräte) is not running (startup type automatic delayed)";0 - Very Low;Data Center Services
Warning;17.02.21 16:53;DC1;Host has been restarted (uptime < 10m);2 - Medium;Data Center Services
High;17.02.21 14:43;Fritz Repeater;Unavailable by ICMP ping;3 - High;Network Services
High;17.02.21 13:55;Fritz Repeater;Unavailable by ICMP ping;3 - High;Network Services
Information;13.02.21 23:01;px4-300d;Operational status was changed on px4-300d interface bond0;3 - High;Data Center Services
Information;13.02.21 11:50;px4-300d;Operational status was changed on px4-300d interface eth1;3 - High;Data Center Services
High;13.02.21 09:11;px4-300d;Disk 2 status require attention: MISSING;3 - High;Data Center Services
Warning;13.02.21 01:35;GS1900-24;Interface GigabitEthernet21( ): High bandwidth usage ( > 90% );1 - Low;Network Services
Average;12.02.21 21:01;sql-server;/: Disk space is critically low (used > 90%);3 - High;Data Center Services
Warning;12.02.21 20:00;sql-server;/: Disk space is low (used > 80%);2 - Medium;Data Center Services
High;12.02.21 16:41;px4-300d;RAID status require attention: REBUILDING;3 - High;Data Center Services
Information;12.02.21 16:31;px4-300d;Media service status was changed for: disabled (0);3 - High;Data Center Services
Information;12.02.21 11:16;GS1900-10HP;Interface GigabitEthernet5(): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
High;12.02.21 01:21;px4-300d;RAID status require attention: REBUILDING;3 - High;Data Center Services
High;11.02.21 12:31;px4-300d;Disk 3 status require attention: MISSING;3 - High;Data Center Services
High;11.02.21 12:31;px4-300d;RAID status require attention: DEGRADED;3 - High;Data Center Services
High;10.02.21 15:31;px4-300d;RAID status require attention: REBUILDING;3 - High;Data Center Services
Information;10.02.21 00:31;px4-300d;Media service status was changed for: enabled (1);3 - High;Data Center Services
High;09.02.21 14:41;px4-300d;Disk 2 status require attention: MISSING;3 - High;Data Center Services
High;09.02.21 14:41;px4-300d;RAID status require attention: DEGRADED;3 - High;Data Center Services
Average;09.02.21 10:29;SSTG4400;/data/R10_2000G: Disk space is critically low (used > 90%);3 - High;Data Center Services
Average;09.02.21 05:07;SSTG4400;/data/R10_2000G: Disk space is critically low (used > 90%);3 - High;Data Center Services
Average;09.02.21 04:50;Zabbix server;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
Average;09.02.21 04:15;Zabbix server;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
Warning;09.02.21 03:47;SSTG4400;/data/R10_2000G: Disk space is low (used > 80%);2 - Medium;Data Center Services
Average;09.02.21 03:38;Zabbix server;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
Average;09.02.21 03:24;Zabbix server;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
Average;09.02.21 03:00;Zabbix server;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
Warning;09.02.21 02:48;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Average;09.02.21 02:40;Zabbix server;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
Average;09.02.21 02:28;Zabbix server;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
Warning;09.02.21 02:14;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;09.02.21 01:55;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Average;09.02.21 01:33;Zabbix server;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
Average;09.02.21 00:39;Zabbix server;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
Warning;09.02.21 00:36;SSTG4400;sda: Disk read/write request responses are too high (read > 20 ms for 15m or write > 20 ms for 15m);2 - Medium;Data Center Services
Average;09.02.21 00:26;Zabbix server;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
Warning;09.02.21 00:04;SSTG4400;sda: Disk read/write request responses are too high (read > 20 ms for 15m or write > 20 ms for 15m);2 - Medium;Data Center Services
Warning;08.02.21 23:59;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Average;08.02.21 23:53;Zabbix server;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
Average;06.02.21 22:58;sysmail;Lack of available memory ( < 20M of 1.94 GB);3 - High;Data Center Services
Warning;04.02.21 15:04;GS1900-10HP;Interface GigabitEthernet5(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;02.02.21 08:01;px4-300d;Free disk space is less than 10% on volume /mnt/pools/A/A0;2 - Medium;Data Center Services
Warning;02.02.21 01:38;px4-300d;Free disk space is less than 10% on volume /mnt/pools/A/A0;2 - Medium;Data Center Services
Warning;01.02.21 18:05;px4-300d;Free disk space is less than 10% on volume /mnt/pools/A/A0;2 - Medium;Data Center Services
Warning;31.01.21 19:49;GS1900-10HP;Interface GigabitEthernet5(): High bandwidth usage ( > 90% );1 - Low;Network Services
Average;29.01.21 23:13;GitLab Contabo;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
High;29.01.21 23:10;Cloudflare DNS;Unavailable by ICMP ping;3 - High;Network Services
High;29.01.21 23:09;Cloudflare DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;29.01.21 23:09;Google DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;29.01.21 23:09;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
Average;29.01.21 19:11;sysmail;Lack of available memory ( < 20M of 1.94 GB);3 - High;Data Center Services
High;28.01.21 12:29;Google DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;28.01.21 12:29;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
Average;27.01.21 04:54;GitLab Contabo;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
High;27.01.21 04:51;FritzBox;WAN not connected;3 - High;Data Center Services
High;27.01.21 04:51;FritzBox;WAN interface down;3 - High;Data Center Services
Information;27.01.21 04:51;FritzBox;Change of public IPv4 address;3 - High;Data Center Services
High;27.01.21 04:50;Cloudflare DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;27.01.21 04:50;Google DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;27.01.21 04:50;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
High;27.01.21 04:50;Cloudflare DNS;Unavailable by ICMP ping;3 - High;Network Services
Average;27.01.21 04:20;GitLab Contabo;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
High;27.01.21 04:18;Cloudflare DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;27.01.21 04:18;Google DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;27.01.21 04:18;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
High;27.01.21 04:18;Cloudflare DNS;Unavailable by ICMP ping;3 - High;Network Services
Average;27.01.21 02:42;GitLab Contabo;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
High;27.01.21 02:40;Cloudflare DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;27.01.21 02:40;Google DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;27.01.21 02:40;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
High;27.01.21 02:40;Cloudflare DNS;Unavailable by ICMP ping;3 - High;Network Services
Warning;26.01.21 19:57;Google DNS;High ICMP ping loss;3 - High;Network Services
Warning;26.01.21 19:57;Cloudflare DNS;High ICMP ping loss;3 - High;Network Services
Average;26.01.21 19:52;GitLab Contabo;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
High;26.01.21 19:51;FritzBox;WAN not connected;3 - High;Data Center Services
High;26.01.21 19:51;FritzBox;WAN interface down;3 - High;Data Center Services
Information;26.01.21 19:51;FritzBox;Change of public IPv4 address;3 - High;Data Center Services
High;26.01.21 19:50;Cloudflare DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;26.01.21 19:50;Google DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;26.01.21 19:50;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
High;26.01.21 19:50;Cloudflare DNS;Unavailable by ICMP ping;3 - High;Network Services
High;25.01.21 15:36;Fritz Repeater;Unavailable by ICMP ping;3 - High;Network Services
Warning;25.01.21 00:30;GS1900-24;Interface GigabitEthernet26( ): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;25.01.21 00:30;GS1900-24;Interface GigabitEthernet5( ): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;25.01.21 00:28;GS1900-10HP Gartenhaus;Interface GigabitEthernet10(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;25.01.21 00:28;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
High;21.01.21 18:08;Cloudflare DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;21.01.21 18:08;Google DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;21.01.21 18:08;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
High;21.01.21 18:08;Cloudflare DNS;Unavailable by ICMP ping;3 - High;Network Services
High;21.01.21 18:07;FritzBox;Unavailable by ICMP ping;3 - High;Network Services
Warning;20.01.21 00:47;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;20.01.21 00:40;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;20.01.21 00:07;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Average;19.01.21 23:58;SSTG4400;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Warning;19.01.21 11:45;asterisk;asterisk has been restarted (uptime < 10m);2 - Medium;Data Center Services
High;19.01.21 11:43;asterisk;Unavailable by ICMP ping;3 - High;Network Services
Information;19.01.21 11:32;asterisk;/etc/passwd has been changed;3 - High;Data Center Services
Warning;19.01.21 11:28;asterisk;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Average;19.01.21 11:28;asterisk;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;19.01.21 01:54;sql-server;sql-server has been restarted (uptime < 10m);3 - High;Data Center Services
Average;19.01.21 01:50;sql-server;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
Warning;19.01.21 01:47;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Average;19.01.21 01:37;sql-server;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Average;19.01.21 01:33;sql-server;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
Information;19.01.21 01:30;sql-server;/etc/passwd has been changed;3 - High;Data Center Services
Average;19.01.21 01:07;vpn;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
Warning;19.01.21 01:07;vpn;vpn has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;19.01.21 01:07;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;19.01.21 00:58;vpn;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Average;19.01.21 00:56;vpn;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
Warning;19.01.21 00:55;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;19.01.21 00:50;sql-server;sql-server has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;19.01.21 00:46;asterisk;asterisk has been restarted (uptime < 10m);2 - Medium;Data Center Services
High;19.01.21 00:45;asterisk;Unavailable by ICMP ping;3 - High;Network Services
Average;19.01.21 00:44;asterisk;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Information;19.01.21 00:43;vpn;/etc/passwd has been changed;3 - High;Data Center Services
Average;19.01.21 00:41;vpn;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
Average;19.01.21 00:33;vpn;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
Warning;19.01.21 00:32;vpn;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;19.01.21 00:31;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;19.01.21 00:24;vpn;vpn has been restarted (uptime < 10m);3 - High;Data Center Services
Average;19.01.21 00:00;GitLab Contabo;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;18.01.21 23:59;vpn;vpn has been restarted (uptime < 10m);3 - High;Data Center Services
Average;18.01.21 20:15;GitLab Contabo;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;18.01.21 15:37;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;18.01.21 15:34;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;18.01.21 15:31;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;18.01.21 15:29;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Information;18.01.21 15:18;SSTG4400;/etc/passwd has been changed;3 - High;Data Center Services
Warning;18.01.21 15:14;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;18.01.21 15:11;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;18.01.21 15:08;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;18.01.21 15:05;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;18.01.21 15:02;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
High;16.01.21 20:02;Fritz Repeater;Unavailable by ICMP ping;3 - High;Network Services
High;16.01.21 19:57;Fritz Repeater;Unavailable by ICMP ping;3 - High;Network Services
Average;16.01.21 15:13;sysmail;Lack of available memory ( < 20M of 1.94 GB);3 - High;Data Center Services
High;16.01.21 11:41;Fritz Repeater;Unavailable by ICMP ping;3 - High;Network Services
Warning;16.01.21 02:08;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;16.01.21 01:57;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;16.01.21 01:32;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;16.01.21 01:18;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;16.01.21 01:06;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Average;15.01.21 15:11;sysmail;Lack of available memory ( < 20M of 1.94 GB);3 - High;Data Center Services
Warning;15.01.21 01:53;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;15.01.21 01:35;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;15.01.21 01:14;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
High;14.01.21 03:07;Google DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;14.01.21 03:07;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
Warning;14.01.21 02:07;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;14.01.21 01:55;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;14.01.21 01:11;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;13.01.21 21:51;GS1900-10HP;Interface GigabitEthernet5(): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Average;13.01.21 13:23;GitLab Contabo;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;13.01.21 02:02;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;13.01.21 01:14;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;12.01.21 18:09;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;12.01.21 17:51;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;12.01.21 16:45;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Average;12.01.21 15:07;sysmail;Lack of available memory ( < 20M of 1.94 GB);3 - High;Data Center Services
Warning;12.01.21 11:46;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;12.01.21 09:50;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;12.01.21 05:34;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;12.01.21 02:48;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;12.01.21 02:15;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;12.01.21 01:51;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;12.01.21 01:05;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;11.01.21 17:45;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Average;10.01.21 00:06;sysmail;Lack of available memory ( < 20M of 1.94 GB);3 - High;Data Center Services
Average;09.01.21 00:31;sysmail;Lack of available memory ( < 20M of 1.94 GB);3 - High;Data Center Services
Average;08.01.21 14:05;DC1;"""ADSync"" (Microsoft Azure AD Sync) is not running (startup type automatic)";3 - High;Data Center Services
Warning;08.01.21 14:03;DC1;Host has been restarted (uptime < 10m);2 - Medium;Data Center Services
Average;08.01.21 10:36;GitLab Contabo;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Average;07.01.21 20:26;sysmail;Lack of available memory ( < 20M of 1.94 GB);3 - High;Data Center Services
Warning;07.01.21 20:19;GS1900-10HP;Interface GigabitEthernet5(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;05.01.21 15:43;DC1;Host has been restarted (uptime < 10m);2 - Medium;Data Center Services
Warning;05.01.21 15:43;sql-server;sql-server has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;05.01.21 15:43;asterisk;asterisk has been restarted (uptime < 10m);2 - Medium;Data Center Services
Warning;05.01.21 15:43;vpn;vpn has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;05.01.21 15:42;sysmail;sysmail has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;05.01.21 15:42;Zabbix server;Zabbix server has been restarted (uptime < 10m);2 - Medium;Data Center Services
Warning;05.01.21 11:45;sysmail;sysmail has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;05.01.21 11:45;Zabbix server;Zabbix server has been restarted (uptime < 10m);2 - Medium;Data Center Services
Warning;05.01.21 11:45;DC1;Host has been restarted (uptime < 10m);2 - Medium;Data Center Services
Warning;05.01.21 11:45;asterisk;asterisk has been restarted (uptime < 10m);2 - Medium;Data Center Services
Warning;05.01.21 11:45;vpn;vpn has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;05.01.21 11:30;sql-server;sql-server has been restarted (uptime < 10m);3 - High;Data Center Services
Average;05.01.21 11:28;DC1;"""ADSync"" (Microsoft Azure AD Sync) is not running (startup type automatic)";3 - High;Data Center Services
Average;05.01.21 11:28;DC1;"""UsoSvc"" (Update Orchestrator Service) is not running (startup type automatic delayed)";0 - Very Low;Data Center Services
Average;05.01.21 11:28;DC1;"""UALSVC"" (Dienst für die Benutzerzugriffsprotokollierung) is not running (startup type automatic delayed)";0 - Very Low;Data Center Services
Warning;05.01.21 11:26;DC1;Host has been restarted (uptime < 10m);2 - Medium;Data Center Services
Warning;05.01.21 11:23;asterisk;asterisk has been restarted (uptime < 10m);2 - Medium;Data Center Services
Information;05.01.21 11:10;GS1900-24;Interface GigabitEthernet16(NAS): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;04.01.21 18:23;DC1;Host has been restarted (uptime < 10m);2 - Medium;Data Center Services
Average;04.01.21 18:21;DC1;"""UsoSvc"" (Update Orchestrator Service) is not running (startup type automatic delayed)";0 - Very Low;Data Center Services
Information;02.01.21 14:46;GS1900-10HP;Interface GigabitEthernet4(): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;02.01.21 14:36;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Information;02.01.21 13:50;GS1900-24;Interface GigabitEthernet16(NAS): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Average;01.01.21 23:06;Zabbix server;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
High;01.01.21 21:41;px4-300d;RAID status require attention: REBUILDING;3 - High;Data Center Services
Warning;01.01.21 12:40;GS1900-10HP;Interface GigabitEthernet5(): High bandwidth usage ( > 90% );1 - Low;Network Services
Average;01.01.21 12:17;DC1;"""UsoSvc"" (Update Orchestrator Service) is not running (startup type automatic delayed)";0 - Very Low;Data Center Services
Average;01.01.21 12:17;DC1;"""UALSVC"" (Dienst für die Benutzerzugriffsprotokollierung) is not running (startup type automatic delayed)";0 - Very Low;Data Center Services
Average;01.01.21 12:17;DC1;"""MSDTC"" (Distributed Transaction Coordinator) is not running (startup type automatic delayed)";0 - Very Low;Data Center Services
Average;01.01.21 12:17;DC1;"""DPS"" (Diagnoserichtliniendienst) is not running (startup type automatic delayed)";0 - Very Low;Data Center Services
Average;01.01.21 12:16;DC1;"""CDPSvc"" (Plattformdienst für verbundene Geräte) is not running (startup type automatic delayed)";0 - Very Low;Data Center Services
Average;01.01.21 12:16;DC1;"""AzureADConnectHealthSyncMonitor"" (Azure AD Connect Health Sync Monitoring Service) is not running (startup type automatic delayed)";0 - Very Low;Data Center Services
Average;01.01.21 12:16;DC1;"""AzureADConnectHealthSyncInsights"" (Azure AD Connect Health Sync Insights Service) is not running (startup type automatic delayed)";0 - Very Low;Data Center Services
Warning;01.01.21 12:15;DC1;Host has been restarted (uptime < 10m);2 - Medium;Data Center Services
Average;01.01.21 10:00;sql-server;/: Disk space is critically low (used > 90%);3 - High;Data Center Services
Warning;01.01.21 08:01;sql-server;/: Disk space is low (used > 80%);2 - Medium;Data Center Services
Average;01.01.21 01:17;DC1;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
High;01.01.21 01:16;DC1;Unavailable by ICMP ping;3 - High;Network Services
Average;31.12.20 23:49;DC1;"""ADSync"" (Microsoft Azure AD Sync) is not running (startup type automatic)";3 - High;Data Center Services
Warning;31.12.20 23:47;DC1;Host has been restarted (uptime < 10m);2 - Medium;Data Center Services
Warning;31.12.20 23:27;asterisk;asterisk has been restarted (uptime < 10m);2 - Medium;Data Center Services
Warning;31.12.20 23:26;Zabbix server;Zabbix server has been restarted (uptime < 10m);2 - Medium;Data Center Services
Warning;31.12.20 23:26;DC1;Host has been restarted (uptime < 10m);2 - Medium;Data Center Services
Warning;31.12.20 23:26;sql-server;sql-server has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;31.12.20 23:20;vpn;vpn has been restarted (uptime < 10m);3 - High;Data Center Services
Average;31.12.20 00:04;sysmail;Lack of available memory ( < 20M of 1.94 GB);3 - High;Data Center Services
Warning;29.12.20 21:26;sysmail;sysmail has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;27.12.20 19:01;sql-server;/: Disk space is low (used > 80%);2 - Medium;Data Center Services
Warning;27.12.20 15:52;GS1900-10HP Gartenhaus;No SNMP data collection;2 - Medium;Network Services
Warning;27.12.20 15:51;GS1900-10HP;No SNMP data collection;2 - Medium;Network Services
Average;27.12.20 14:52;Zabbix server;Zabbix unreachable poller processes more than 75% busy;2 - Medium;Data Center Services
Warning;27.12.20 14:42;sysmail;sysmail has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;27.12.20 14:42;Zabbix server;Zabbix server has been restarted (uptime < 10m);2 - Medium;Data Center Services
Warning;27.12.20 14:42;DC1;Host has been restarted (uptime < 10m);2 - Medium;Data Center Services
Warning;27.12.20 14:42;sql-server;sql-server has been restarted (uptime < 10m);3 - High;Data Center Services
Average;27.12.20 13:32;vpn;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
High;27.12.20 13:30;vpn;Unavailable by ICMP ping;3 - High;Network Services
Average;27.12.20 13:16;Zabbix server;Zabbix unreachable poller processes more than 75% busy;2 - Medium;Data Center Services
Warning;27.12.20 13:15;sysmail;sysmail has been restarted (uptime < 10m);3 - High;Data Center Services
Average;27.12.20 13:13;asterisk;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Average;27.12.20 13:13;GitLab Contabo;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
