Column1;Title;KBA;Resolution;class
126;Facing network / internet problem with wifi xwq090;KBA000013;Go to network tab from bottom right corner, choose inn001 network, click on connect;38
127;How can I clean my keyboard?;KBA000036;The keys on a keyboard are only clipped on, with a knife or other thin object, carefully pop the keys off, this will allow you to clean under the keys as well as cleaning the keys themselves (make sure you remember where they went!).;20
128;How can I recover a file from the recycle bin?;KBA000009;Double click the recycle bin icon on your desktop, here you will see all of the files within your bin. Select the files you wish to recover, right click and choose restore.;5
129;How can I update my computer with Microsoft Windows?;KBA000018;If you are running Microsoft Windows 7, Windows 10, or a later version of Microsoft Windows, you are eligible to update Microsoft Windows, and in some cases, your computer hardware with the latest drivers through Microsoft's update site, visit http://windowsupdate.microsoft.com. In most cases your computer should be set to automatically update when a new update becomes available.;9
130;How do I delete Internet cookies?;KBA000025;Microsoft Internet Explorer users can go to 'Tools' (or the little cog icon in the top left), then go to 'Safety' and choose 'Delete browsing history...', you can then choose to delete your Internet cookies. In Google Chrome, go to 'More Tools' and choose 'Clear browsing data...'. Firefox users can go to 'History', then choose 'Clear recent history...'.;15
131;How do I determine the name of my computer?;KBA000034;Right-click My Computer. Click Properties. In the Properties window, click the Computer Name tab. Within this tab you'll be able to see the full computer name, workgroup and also a description. If you wish to change the name or workgroup, click the Change button.;18
132;How do I fix a paper jam?;KBA000041;Turn off the printer. Inspect the location or tray the printed paper ejects to. If the stuck paper is visible manually remove it. Remove all paper trays and any paper that may be stuck between the tray and the printer. If the stuck paper is visible manually remove it. Open the printer door that allows you access to the printer ink cartridges or toner and look for any stuck paper. If the stuck paper is visible manually remove it. Turn the printer back on.;24
133;How do I get in safe mode?;KBA000039;"To get into the Windows 7 / 10 Safe mode, as the computer is starting up press and hold your ""F8 Key"" which should bring up the ""Windows Advanced Options Menu"". Use your arrow keys to move to ""Safe Mode"" and press your Enter key.";22
134;How do I map a network drive?;KBA000027;"Open Microsoft Explorer. From Explorer, click the Tools drop down menu and click the option ""Map Network Drive."" Specify the network drive or network computer as the folder. If the computer's name was hope, to map to that computer, type \\hope If you wished to map to a shared folder on the hope computer such as a mp3 folder, you would type \\hope\mp3. If a different username or login is required to connect to this computer or drive it must be specified in this window before clicking the finish.";17
135;I can not connect to my network drive anymore?;KBA000046;Verify that the network cable is properly connected to the back of the computer. In addition, when checking the connection of the network cable, ensure that the LED's on the network are properly illuminated. For example, a network card with a solid green LED or light usually indicates that the card is either connected or receiving a signal. Note: generally, when the green light is flashing, this is an indication of data being sent or received.;28
136;I can not delete a file because it is using Windows.;KBA000007;Close all programs running on the computer and try again. If after closing all programs running on the computer you are still encountering the same issue when attempting to delete files, load the computer into Safe Mode and delete the files.;4
137;I can not receive any email attachment?;KBA000016;If the e-mail box is full of other e-mail messages, and/or your storage space is only a few megabytes, it's possible that the attachment being sent cannot be received. Often if this problem is occurring the person sending the e-mail should get a response back from your e-mail server indicating that your mailbox is full and/or has exceeded its allocated size. Because computer viruses and other malware are best distributed through e-mail, many e-mail service providers, companies, and e-mail programs prevent certain types of file extensions from being distributed or received through e-mail. For example, Microsoft Outlook protect its users by automatically disabling certain file extension types from being received in e-mail.;7
138;I can not send or receive emails?;KBA000047;Verify that your computer is able to see the Internet and/or other computers to ensure that your computer is not encountering a connection issue, which would be causing your e-mail issue. Ensure that your Internet e-mail server or your Network e-mail server is not encountering issues by contacting either your Internet Service Provider or your Network administrator.;29
139;I forgot the password, can you reset the password for me?;KBA000015;Go to URL : password.reset.com, Enter you login id, enter password received, reset the password;36
140;I lost the printer installation disk, how can I install my printer?;KBA000035;Thankfully a missing printer installation disk or disc is not the end of the world and will not require you to wait until a new diskette or CD can be sent to you. Today all printer and other hardware manufacturers are providing downloads on the Internet to their software programs and drivers that are included with their products.;19
141;"I receive a ""no signal input"" message, what should I do?";KBA000045;Verify that the monitor is properly connected in the back of the monitor as well as to the back of the computer. If the monitor appears to be connected properly, verify that a cable is not loose by disconnecting all cables that can be disconnected in the back of the monitor (generally the data cable cannot be disconnected). Next, disconnect the data cable connected to the back of the computer and then reconnect the cable. When connecting the cable in the back of the computer ensure the cable connection is tight. Most Computers will also have screw ends that can be screwed in to hold the connector in place.;27
142;If I format or erase my hard drive, will it eliminate a virus?;KBA000019;If your computer is infected with a virus formatting or erasing the hard disk drive and starting over will almost always remove any type of virus. However, keep in mind if backups have been made that contain the virus, other media or drives connected to the computer have a virus, your computer is connected to another computer on a network with a virus, and/or the virus is stored on some other type of software you use with your computer it can become re-infected if not properly protected.;11
143;Install the postgres database on my machine;KBA000012;Go to \imfs\software\postgres location, copy postgresql database into local and install;37
144;Is it safe to turn off a Windows computer without closing it?;KBA000043;Users should not simply press the power button or restart the computer while Windows is still running unless there is an issue with the computer. Microsoft has included the shut down feature because it enables a computer to go through all the necessary steps that are required before turning off the computer. In fact many versions of Microsoft Windows will check the computer for any problems if the computer is not shut down properly.;25
145;LAN does not work in a VM;KBA000005;changed network settings to Bridged and configured network in VM.;49
146;La cuenta se bloqueó debido a 3 intentos incorrectos de contraseña. ¿Podrías por favor reiniciar la contraseña?;KBA000042;Unlocked the account and new password is sent to your email id.;47
147;Login credentials do not work.;KBA000015;Go to URL : password.reset.com, Enter you login id, enter password received, reset the password;36
148;My Internet does not work;KBA000013;Go to network tab from bottom right corner, choose inn001 network, click on connect;38
149;My computer does not turn on, what do I do now?;KBA000010;First check the computer's power cord to make sure it is completely plugged into the wall socket. If you are using a plug strip, make sure it is completely plugged into the wall socket and that the power switch on the plug strip is turned on. Some plug strips also have a built in circuit breaker which usually looks like a black or red button near the power switch. Press the button to reset it and see if that solves the problem.;6
150;My computer does not turn on?;KBA000006;Check that all the cables are securely plugged into the back of the machine and the monitor. Check that the power cables are plugged into a power socket and the socket has been turned on. Try using a different power socket or, if you are using a power extension strip, plug the power cable directly into a power socket in the wall. Replace the power cable with one that you know works. Check if there are any lights on at the front of the machine: If there are lights on the machine but not the monitor, then it's probably a monitor issue. If there are lights on the monitor but not the machine, then it's probably a machine issue. If there are no lights on anything, then it may be possible there is a local power cut. With laptops, try removing the power cable and the battery. Hold down the power button for about ten seconds, and then plug the battery and power cable in again. Press the power button to see if it switches on.;3
151;My computer freezes or behaves strangely;KBA000040;Try restarting your computer. Many basic problems can be resolved easily and quickly this way. Press the Ctrl & Alt & Del keys on your keyboard together at the same time. This should bring up a menu that will allow you to run Task Manager. In Task Manager, switch to the Applications tab. Highlight any programs with the status 'Not Responding' and choose End Task. You may be asked to confirm if you want to end the unresponsive program, so choose Yes. Do this for all programs that are not responding. If all else fails and you cannot shutdown/restart your computer, then hold down the power button on the machine until it forcibly turns off. Wait a few seconds and then turn it back on again.;23
152;My printer is printing stained / distorted pages?;KBA000049;When printing on untraditional paper your printer may experience smudges, un-even or crooked text, and/or text that runs off the edges of the paper. Your printer may be printing fuzzy, blurry, and/or other faint text because of dirty print heads. All modern printers have some type of printer cleaning, self-test, and/or diagnose mode that can be performed to check and clean the printers print heads and other internal equipment used to print.;30
153;MySpace Password Expiration;KBA000031;Please reset the passowrd using self service Portal http://ssp.abc.com, Please write back to us if you face any issue.;43
154;New account is necessary for a new member.;KBA000014;Go to URL : accountsetup.com, Enter personal details along with user id, enter OTP received, click finish. Check email for details.;35
155;Nothing appears on the monitor?;KBA000023;Make sure both the computer and monitor are on. Make sure the monitor is securely plugged into the computer. Make sure the power cable is firmly plugged into the monitor. Some computers have multiple display ports, so make sure you have plugged the monitor into the correct one. Try each one in turn, switching the monitor off then on in between moves. Most monitors have a status window displayed when you turn it on. Check if you can see this status window when you press the power button on the monitor. You can also try this with the menu button on the monitor, which should bring up an options menu on the screen. This shows the screen is working ok, so it may be an issue with the video cable from the monitor or the machine itself. Check the brightness & contrast levels of the monitor via the menu button, to make sure it has not been set too dark. Move the mouse and press any key on the keyboard to make sure the screensaver hasn't activated or that the computer hasn't gone into standby/hibernation mode.;13
156;Replace the battery of my Macbook laptop;KBA000032;Please run Battery Helath test and send us the results IT team will do the needful accordingly. Please follow the steps to cehck the battery Helath https://ticket.abc.com/kb/faq.php Hardware issue-Battery issue;44
157;Request to configure the system to share it among users;KBA000038;They won't be able to access other profiles if they login with their account. Please ask users to reach out to IT if they have any issues.;46
158;System that shows the blue screen at the beginning;KBA000001;1. Hold the power button until system gets shut down, then hit the power button to boot the machine. If still blue screen appears contact IT team and surrender the laptop.;32
159;The My Space QA application is inactive;KBA000048;We regret for the inconvinience caused. The issue is with Host server which got rebooted due to a power failure.;48
160;The computer does not turn on;KBA000008;Contact IT support.;33
161;The desktop does not work;KBA000028;Please check the Power cables are properly plugged , Please write back to us if the Problem still persists.;40
162;The password expired.;KBA000015;Go to URL : password.reset.com, Enter you login id, enter password received, reset the password;36
163;The system behaves strangely, the blue screen appears in the middle;KBA000033;Press F8 button on system start, Choose safe mode, if OS loads then restart the os, if still same issue comes handover it to IT team;45
164;The system hangs with a blue screen at the start;KBA000033;Press F8 button on system start, Choose safe mode, if OS loads then restart the os, if still same issue comes handover it to IT team;45
165;The wheel of my mouse does not work correctly, what should I do?;KBA000020;If you're running any version of Microsoft Windows and are encountering issues with the mouse wheel, first attempt to adjust the mouse settings through the Mouse Properties window. This window can be accessed by opening the Control Panel and double-clicking the Mouse icon.;10
166;There are black borders on my screen, what should I do?;KBA000017;"If the resolution was recently changed it is possible for the monitor to not auto adjust or shift to the correct size. If this occurs, the resolution can be changed back to the original setting or you can manually adjust the monitor. If a black border exists on the monitor it can generally be resolved by manually adjusting the horizontal or vertical width. Because each monitor is different, the method of adjusting this setting will vary; consult your monitor documentation.";8
167;There is no screen on the monitor, what do I do now?;KBA000024;Make sure the monitor is on. If no power light (green or orange light) is seen on the monitor display try pressing the power button until it comes on. If your computer monitor was on and you stepped away from the computer and upon returning it was black, it's likely that the computer is asleep. Try moving your mouse, clicking the mouse buttons, and/or pressing any key (space bar) on the keyboard to wake it up. Make sure that the monitor is connected properly to the back of the computer.;14
168;What do I do if my hard drive does not work?;KBA000004;As with most computer errors, your first step is to shut down your computer and restart it. This will help you determine whether or not you actually have a hard disk problem. If the disk is severely damaged then your computer will probably fail to restart properly. If this is the case then contact MCWare IT Solutions, this is a job for the professionals.;2
169;What do I do if the image on the screen is distorted or skewed?;KBA000050;You may receive a distorted image when the cable is loose or defective. Disconnect the video cable going from the back of the computer and verify that no pins are bent, burnt or broken. Once verified re-connect the monitor cable. If the refresh rate is not properly set the monitor may have a wavy or an appearance that lines are going down or across the monitor slowly or fast, this may also cause a flickering affect. A distorted image can be caused by magnetic or other types of interference. Verify no speakers, fans or other magnetic devices are close to the monitor.;31
170;What do I do when my computer crashes?;KBA000037;"There are many reasons why a computer may just stop working or ""freeze"". Most of the time there isn't much we can do about it, it is a fact of life that computer programs have become so complex that occasionally users will experience problems even when performing common tasks. When your computer no longer responds to keyboard commands your best bet is to restart the computer.";21
171;What is a computer virus?;KBA000002;A computer virus is a software program that has been intentionally created to cause a user grief, spread to other computers, or destroy data on an individual's computer. To help prevent a computer from becoming infected by a virus, software developers have developed anti virus programs that stay active on the computer helping to protect it. It is important to realize that many computers do not come pre-loaded with these already installed and that if computers do come with these programs, the programs may expire within 90 days.;0
172;Why is my mouse acting erratically?;KBA000044;Users who have an optical mechanical mouse (most common mouse for desktop computers) are likely experiencing erratic behaviour because the mouse is not clean or is dirty. If you've cleaned the mouse and continue to encounter issues and this mouse has worked in the past fine unfortunately your mouse is likely defective. One additional test that can be done to help determine if this is the case or not is to connect the mouse to another computer. Otherwise we suggest replacing the mouse.;26
173;Wifi access is required.;KBA000011;First, connect a network cable to your laptop to the red port on your workstation. Run ipconfig /all on your command prompt. Share WiFi Mac or Hardware address to the IT team. IT team then adds your MAC ID to enable WiFi access;34
174;You need Ethernet access;KBA000029;Please connect the LAN cable to the red port on your workstation. Please write back to IT if you are unable to get the IP addresss;41
175;You need wifi access permission to the laptop;KBA000011;First, connect a network cable to your laptop to the red port on your workstation. Run ipconfig /all on your command prompt. Share WiFi Mac or Hardware address to the IT team. IT team then adds your MAC ID to enable WiFi access;34
176;install the MS office;KBA000030;Please login to web mail and go to settings -office 365 -install applications- download and install MS office for your machine.;42
177;A new account is needed for a new participant.;KBA000014;Go to URL : accountsetup.com, Enter personal details along with user id, enter OTP received, click finish. Check email for details.;35
178;Are spaces allowed in e-mail addresses?;KBA000022;"Just like an Internet URL no spaces are allowed in an e-mail address. However, names can be broken up using a period; for example, John Smith may have an e-mail address: john.smith@example.com or john.s@example.com because no spaces are allowed in the e-mail address.";12
179;Blocked account. Do not log in;KBA000042;Unlocked the account and new password is sent to your email id.;47
180;Can a virus damage computer hardware?;KBA000026;No. Computer viruses are software code designed to spread to computer files and other computers, delete files, and cause other problems with the data on the computer. So if you're experiencing an issue with a hardware device such as your printer, video card, sound card, etc. it is not due to a virus.;16
181;Configure Outlook in my system;KBA000021;IT Team has sent the instructions to configure outlook -follow the instructions on https://ticket.abc.com/kb/faq.php and click on O365 and solution and then outlook configuration for your machines;39
182;Create a new account and share the username and password;KBA000014;Go to URL : accountsetup.com, Enter personal details along with user id, enter OTP received, click finish. Check email for details.;35
183;FW: Myspace Login Problem - Ania;KBA000015;Go to URL : password.reset.com, Enter you login id, enter password received, reset the password;36
184;Forgotten password, please reset the password for me.;KBA000015;Go to URL : password.reset.com, Enter you login id, enter password received, reset the password;36
185;Given the problem with the network / Internet with Wifi xwq090;KBA000013;Go to network tab from bottom right corner, choose inn001 network, click on connect;38
186;How can I clean my keyboard?;KBA000036;The keys on a keyboard are only clipped on, with a knife or other thin object, carefully pop the keys off, this will allow you to clean under the keys as well as cleaning the keys themselves (make sure you remember where they went!).;20
187;How can I recover a file from the Recycle Bin?;KBA000009;Double click the recycle bin icon on your desktop, here you will see all of the files within your bin. Select the files you wish to recover, right click and choose restore.;5
188;How can I update my Microsoft Windows computer?;KBA000018;If you are running Microsoft Windows 7, Windows 10, or a later version of Microsoft Windows, you are eligible to update Microsoft Windows, and in some cases, your computer hardware with the latest drivers through Microsoft's update site, visit http://windowsupdate.microsoft.com. In most cases your computer should be set to automatically update when a new update becomes available.;9
189;How do I delete internet cookies?;KBA000025;Microsoft Internet Explorer users can go to 'Tools' (or the little cog icon in the top left), then go to 'Safety' and choose 'Delete browsing history...', you can then choose to delete your Internet cookies. In Google Chrome, go to 'More Tools' and choose 'Clear browsing data...'. Firefox users can go to 'History', then choose 'Clear recent history...'.;15
190;How do I find the name of my computer?;KBA000034;Right-click My Computer. Click Properties. In the Properties window, click the Computer Name tab. Within this tab you'll be able to see the full computer name, workgroup and also a description. If you wish to change the name or workgroup, click the Change button.;18
191;How do I fix a paper jam?;KBA000041;Turn off the printer. Inspect the location or tray the printed paper ejects to. If the stuck paper is visible manually remove it. Remove all paper trays and any paper that may be stuck between the tray and the printer. If the stuck paper is visible manually remove it. Open the printer door that allows you access to the printer ink cartridges or toner and look for any stuck paper. If the stuck paper is visible manually remove it. Turn the printer back on.;24
192;How do I get into safe mode?;KBA000039;"To get into the Windows 7 / 10 Safe mode, as the computer is starting up press and hold your ""F8 Key"" which should bring up the ""Windows Advanced Options Menu"". Use your arrow keys to move to ""Safe Mode"" and press your Enter key.";22
193;How do I map a network drive?;KBA000027;"Open Microsoft Explorer. From Explorer, click the Tools drop down menu and click the option ""Map Network Drive."" Specify the network drive or network computer as the folder. If the computer's name was hope, to map to that computer, type \\hope If you wished to map to a shared folder on the hope computer such as a mp3 folder, you would type \\hope\mp3. If a different username or login is required to connect to this computer or drive it must be specified in this window before clicking the finish.";17
194;I can not connect to my network drive anymore.;KBA000046;Verify that the network cable is properly connected to the back of the computer. In addition, when checking the connection of the network cable, ensure that the LED's on the network are properly illuminated. For example, a network card with a solid green LED or light usually indicates that the card is either connected or receiving a signal. Note: generally, when the green light is flashing, this is an indication of data being sent or received.;28
195;I can not delete a file because it is used by Windows.;KBA000007;Close all programs running on the computer and try again. If after closing all programs running on the computer you are still encountering the same issue when attempting to delete files, load the computer into Safe Mode and delete the files.;4
196;I can not receive e-mail attachments.;KBA000016;If the e-mail box is full of other e-mail messages, and/or your storage space is only a few megabytes, it's possible that the attachment being sent cannot be received. Often if this problem is occurring the person sending the e-mail should get a response back from your e-mail server indicating that your mailbox is full and/or has exceeded its allocated size. Because computer viruses and other malware are best distributed through e-mail, many e-mail service providers, companies, and e-mail programs prevent certain types of file extensions from being distributed or received through e-mail. For example, Microsoft Outlook protect its users by automatically disabling certain file extension types from being received in e-mail.;7
197;I can not send or receive emails.;KBA000047;Verify that your computer is able to see the Internet and/or other computers to ensure that your computer is not encountering a connection issue, which would be causing your e-mail issue. Ensure that your Internet e-mail server or your Network e-mail server is not encountering issues by contacting either your Internet Service Provider or your Network administrator.;29
198;I get a 'no signal input' message, what should I do?;KBA000045;Verify that the monitor is properly connected in the back of the monitor as well as to the back of the computer. If the monitor appears to be connected properly, verify that a cable is not loose by disconnecting all cables that can be disconnected in the back of the monitor (generally the data cable cannot be disconnected). Next, disconnect the data cable connected to the back of the computer and then reconnect the cable. When connecting the cable in the back of the computer ensure the cable connection is tight. Most Computers will also have screw ends that can be screwed in to hold the connector in place.;27
199;I lost my printer installation disk. How can I install my printer?;KBA000035;Thankfully a missing printer installation disk or disc is not the end of the world and will not require you to wait until a new diskette or CD can be sent to you. Today all printer and other hardware manufacturers are providing downloads on the Internet to their software programs and drivers that are included with their products.;19
200;If I format or delete my drive, will it remove a virus?;KBA000019;If your computer is infected with a virus formatting or erasing the hard disk drive and starting over will almost always remove any type of virus. However, keep in mind if backups have been made that contain the virus, other media or drives connected to the computer have a virus, your computer is connected to another computer on a network with a virus, and/or the virus is stored on some other type of software you use with your computer it can become re-infected if not properly protected.;11
201;Install MS Office;KBA000030;Please login to web mail and go to settings -office 365 -install applications- download and install MS office for your machine.;42
202;Install the Postgres database on my computer;KBA000012;Go to \imfs\software\postgres location, copy postgresql database into local and install;37
203;Is Windows equipped with an anti-virus program?;KBA000003;All versions of Microsoft Windows do not come pre-installed with a virus protection program. This includes: Microsoft Windows 7 and Windows 10.;1
204;Is it safe to turn off a Windows computer without shutting down?;KBA000043;Users should not simply press the power button or restart the computer while Windows is still running unless there is an issue with the computer. Microsoft has included the shut down feature because it enables a computer to go through all the necessary steps that are required before turning off the computer. In fact many versions of Microsoft Windows will check the computer for any problems if the computer is not shut down properly.;25
205;LAN does not work in a VM;KBA000005;changed network settings to Bridged and configured network in VM.;49
206;Login credentials do not work.;KBA000015;Go to URL : password.reset.com, Enter you login id, enter password received, reset the password;36
207;My Space QA application is not available;KBA000048;We regret for the inconvinience caused. The issue is with Host server which got rebooted due to a power failure.;48
208;My computer does not power up?;KBA000006;Check that all the cables are securely plugged into the back of the machine and the monitor. Check that the power cables are plugged into a power socket and the socket has been turned on. Try using a different power socket or, if you are using a power extension strip, plug the power cable directly into a power socket in the wall. Replace the power cable with one that you know works. Check if there are any lights on at the front of the machine: If there are lights on the machine but not the monitor, then it's probably a monitor issue. If there are lights on the monitor but not the machine, then it's probably a machine issue. If there are no lights on anything, then it may be possible there is a local power cut. With laptops, try removing the power cable and the battery. Hold down the power button for about ten seconds, and then plug the battery and power cable in again. Press the power button to see if it switches on.;3
209;My computer freezes or behaves strangely?;KBA000040;Try restarting your computer. Many basic problems can be resolved easily and quickly this way. Press the Ctrl & Alt & Del keys on your keyboard together at the same time. This should bring up a menu that will allow you to run Task Manager. In Task Manager, switch to the Applications tab. Highlight any programs with the status 'Not Responding' and choose End Task. You may be asked to confirm if you want to end the unresponsive program, so choose Yes. Do this for all programs that are not responding. If all else fails and you cannot shutdown/restart your computer, then hold down the power button on the machine until it forcibly turns off. Wait a few seconds and then turn it back on again.;23
210;My computer will not turn on. What do I do now?;KBA000010;First check the computer's power cord to make sure it is completely plugged into the wall socket. If you are using a plug strip, make sure it is completely plugged into the wall socket and that the power switch on the plug strip is turned on. Some plug strips also have a built in circuit breaker which usually looks like a black or red button near the power switch. Press the button to reset it and see if that solves the problem.;6
211;My internet is not working;KBA000013;Go to network tab from bottom right corner, choose inn001 network, click on connect;38
212;My printer prints smeared / distorted pages?;KBA000049;When printing on untraditional paper your printer may experience smudges, un-even or crooked text, and/or text that runs off the edges of the paper. Your printer may be printing fuzzy, blurry, and/or other faint text because of dirty print heads. All modern printers have some type of printer cleaning, self-test, and/or diagnose mode that can be performed to check and clean the printers print heads and other internal equipment used to print.;30
213;MySpace password expiration;KBA000031;Please reset the passowrd using self service Portal http://ssp.abc.com, Please write back to us if you face any issue.;43
214;Need Ethernet access;KBA000029;Please connect the LAN cable to the red port on your workstation. Please write back to IT if you are unable to get the IP addresss;41
215;No connection to the internet possible;KBA000013;Go to network tab from bottom right corner, choose inn001 network, click on connect;38
216;Nothing appears on the monitor?;KBA000023;Make sure both the computer and monitor are on. Make sure the monitor is securely plugged into the computer. Make sure the power cable is firmly plugged into the monitor. Some computers have multiple display ports, so make sure you have plugged the monitor into the correct one. Try each one in turn, switching the monitor off then on in between moves. Most monitors have a status window displayed when you turn it on. Check if you can see this status window when you press the power button on the monitor. You can also try this with the menu button on the monitor, which should bring up an options menu on the screen. This shows the screen is working ok, so it may be an issue with the video cable from the monitor or the machine itself. Check the brightness & contrast levels of the monitor via the menu button, to make sure it has not been set too dark. Move the mouse and press any key on the keyboard to make sure the screensaver hasn't activated or that the computer hasn't gone into standby/hibernation mode.;13
217;Password expired.;KBA000015;Go to URL : password.reset.com, Enter you login id, enter password received, reset the password;36
218;Replace the battery for my Macbook laptop;KBA000032;Please run Battery Helath test and send us the results IT team will do the needful accordingly. Please follow the steps to cehck the battery Helath https://ticket.abc.com/kb/faq.php Hardware issue-Battery issue;44
219;Request that the system be configured to share between users;KBA000038;They won't be able to access other profiles if they login with their account. Please ask users to reach out to IT if they have any issues.;46
220;Requires permission wifi access to the laptop;KBA000011;First, connect a network cable to your laptop to the red port on your workstation. Run ipconfig /all on your command prompt. Share WiFi Mac or Hardware address to the IT team. IT team then adds your MAC ID to enable WiFi access;34
221;System behaves strangely, blue screen appears in the middle;KBA000033;Press F8 button on system start, Choose safe mode, if OS loads then restart the os, if still same issue comes handover it to IT team;45
222;System showing a blue screen at startup;KBA000001;1. Hold the power button until system gets shut down, then hit the power button to boot the machine. If still blue screen appears contact IT team and surrender the laptop.;32
223;The account was blocked due to 3 wrong password attempts. Could you please reset the password?;KBA000042;Unlocked the account and new password is sent to your email id.;47
224;The computer will not turn on;KBA000008;Contact IT support.;33
225;The desktop is not working;KBA000028;Please check the Power cables are properly plugged , Please write back to us if the Problem still persists.;40
226;The system hangs at startup with a blue screen;KBA000033;Press F8 button on system start, Choose safe mode, if OS loads then restart the os, if still same issue comes handover it to IT team;45
227;The wheel on my mouse is not working properly, what am I doing?;KBA000020;If you're running any version of Microsoft Windows and are encountering issues with the mouse wheel, first attempt to adjust the mouse settings through the Mouse Properties window. This window can be accessed by opening the Control Panel and double-clicking the Mouse icon.;10
228;There are black borders on my screen, what am I doing?;KBA000017;"If the resolution was recently changed it is possible for the monitor to not auto adjust or shift to the correct size. If this occurs, the resolution can be changed back to the original setting or you can manually adjust the monitor. If a black border exists on the monitor it can generally be resolved by manually adjusting the horizontal or vertical width. Because each monitor is different, the method of adjusting this setting will vary; consult your monitor documentation.";8
229;There is no display on the monitor, what am I doing now?;KBA000024;Make sure the monitor is on. If no power light (green or orange light) is seen on the monitor display try pressing the power button until it comes on. If your computer monitor was on and you stepped away from the computer and upon returning it was black, it's likely that the computer is asleep. Try moving your mouse, clicking the mouse buttons, and/or pressing any key (space bar) on the keyboard to wake it up. Make sure that the monitor is connected properly to the back of the computer.;14
230;What do I do if my computer crashes?;KBA000037;"There are many reasons why a computer may just stop working or ""freeze"". Most of the time there isn't much we can do about it, it is a fact of life that computer programs have become so complex that occasionally users will experience problems even when performing common tasks. When your computer no longer responds to keyboard commands your best bet is to restart the computer.";21
231;What do I do if my hard drive does not work?;KBA000004;As with most computer errors, your first step is to shut down your computer and restart it. This will help you determine whether or not you actually have a hard disk problem. If the disk is severely damaged then your computer will probably fail to restart properly. If this is the case then contact MCWare IT Solutions, this is a job for the professionals.;2
232;What do I do if the image on the screen is distorted or distorted?;KBA000050;You may receive a distorted image when the cable is loose or defective. Disconnect the video cable going from the back of the computer and verify that no pins are bent, burnt or broken. Once verified re-connect the monitor cable. If the refresh rate is not properly set the monitor may have a wavy or an appearance that lines are going down or across the monitor slowly or fast, this may also cause a flickering affect. A distorted image can be caused by magnetic or other types of interference. Verify no speakers, fans or other magnetic devices are close to the monitor.;31
233;What is a computer virus?;KBA000002;A computer virus is a software program that has been intentionally created to cause a user grief, spread to other computers, or destroy data on an individual's computer. To help prevent a computer from becoming infected by a virus, software developers have developed anti virus programs that stay active on the computer helping to protect it. It is important to realize that many computers do not come pre-loaded with these already installed and that if computers do come with these programs, the programs may expire within 90 days.;0
234;Why does my mouse behave unpredictably?;KBA000044;Users who have an optical mechanical mouse (most common mouse for desktop computers) are likely experiencing erratic behaviour because the mouse is not clean or is dirty. If you've cleaned the mouse and continue to encounter issues and this mouse has worked in the past fine unfortunately your mouse is likely defective. One additional test that can be done to help determine if this is the case or not is to connect the mouse to another computer. Otherwise we suggest replacing the mouse.;26
235;Wi-Fi access required.;KBA000011;First, connect a network cable to your laptop to the red port on your workstation. Run ipconfig /all on your command prompt. Share WiFi Mac or Hardware address to the IT team. IT team then adds your MAC ID to enable WiFi access;34
